supplier_reference,price_ttc_amount,product_name
R9F64220,6.55,Schneider - Disjoncteur 3KA 2 poles  caractéristique c 20A - R9F64220
2CDS232089R0164,6.4,Vynckier - Disjoncteur 3KA 2 poles caractéristique c 16A EP30 - 667025
2CDS232089R0204,6.4,Vynckier - Disjoncteur 3KA 2 poles c 20A EP30 - 667026
R9F64216,6.53,Schneider - Disjoncteur 3KA 2 poles  caractéristiques  c   16A - R9F64216
2CDS233189R0204,31,Vynckier - Disjoncteur 3KA 4POLES c 20A EP30 - 667058
2CDS233189R0164,33.5,Vynckier - Disjoncteur 3KA 4POLES c 16A EP30 - 5413656670575
R9FEC216,6.17,Schneider Resi9 XE disjoncteur - 16A 3KA 2P C - R9FEC216
R9F64416,33.58,Schneider - Disjoncteur 3KA 4P c 16A - R9F64416
R9FEC206,12.35,Schneider Resi9 XE disjoncteur - 6A 3KA 2P C - R9FEC206
R9F64420,33.6,Schneider - Disjoncteur 3KA 4POLES c 20A - R9F64420
R9FEC220,6.27,Schneider Resi9 XE disjoncteur - 20A 3KA 2P C - R9FEC220
MWS220A,6.65,Hager - Disjoncteur 3KA 2POLES c 20A Quickconnect - MWS220A
R9FEC210,8.35,Schneider Resi9 XE disjoncteur - 10A 3KA 2P C - R9FEC210
MWS206A,12.95,Hager - Disjoncteur 3KA 2P c 6A Quickconnect - MWS206A
MWS620A,30.94,Hager - Disjoncteur 3KA 4P c 20A Quickconnect - MWS620A
MWS210A,8.98,Hager - Disjoncteur 3KA 2P c 10A Quickconnect - MWS210A
MWS616A,30.94,Hager - Disjoncteur 3KA 4P c 16A Quickconnect - MWS616A
MWS216A,6.85,Hager - Disjoncteur 3KA 2P c 16A Quickconnect - MWS216A
MWS225A,12.95,Hager - Disjoncteur 3KA 2P c 25A Quickconnect - MWS225A
2CDS232089R0024,13.25,Vynckier - Disjoncteur 3KA 2P c 2A EP30 - 667018
MWN216A,6.65,Hager - Disjoncteur 3KA 2POLES c 16A - MWN216A
2CDS232089R0044,14.24,Vynckier - Disjoncteur 3KA 2P c 4A EP30 - 667020
2CSF702157R1400,52.2,Vynckier - Interrupteur différentiel 2 poles 40A 30MA type a 2 modules - 604302
330-00700,98.24,Niko - Variateur modulaire universel 325VA + deparasitage - 330-00700
EUD12D-UC,60.8,Eltako - Dimmer impuls multifonctionel - EUD12D-UC
330-00701,132.5,Niko - Variateur modulaire universel analogique 325VA + deparasitage - 330-00701
2CSF702157R1630,70.95,Vynckier - Interrupteur différentiel 2POLE 63A 30MA type a 2MODULES - 604304
2CSF702157R3400,51.3,Vynckier - Interrupteur différentiel 2 poles 40A 300MA type a 2MODULES - 604303
EUD12NPN-UC,51.95,Eltako - Variateur universelle 400W - EUD12NPN-UC
2CSF704157R3400,52.2,Vynckier - Interrupteur différentiel 4 poles 40A 300MA type a 4 modules - 604309
R9R01240,52,Schneider - Interrupteur différentiel 2POLES 40A 30MA type a 2MODULES - R9R01240
2CSF702157R3630,59.9,Vynckier - Interrupteur differentiel 2POLES 63A 300MA type a 4MODULES - 604305
2CSF704157R3630,87.34,Vynckier - Interrupteur différentiel 4 poles 63A 300MA type a dx - 604311
221-413,19,"Wago - Raccord  avec leviers 3FILS 0,2-4MM² - 221-413"
2CSF704157R1630,95.21,Vynckier - Interrupteur différentiel 4P 63A 30MA type a 4 modules - 604310
R9R04440,49.14,Schneider - Interrupteur différentiel 4 poles 40A 300MA type a 4MODULES - R9R04440
R9R04240,49.9,Schneider - Interrupteur différentiel 2POLES 40A 300MA type a 2MODULES - R9R04240
